Sinusoidal Linear,Cubic,Logarithmic,Linear,Seed
-0.167598589,-0.25036233,-0.139649485,-0.116905737,2002
0.07296123,0.012934141,-0.005641321,0.067310505,2003
0.571490631,0.403295867,0.400372156,0.432027837,2004
0.141929262,0.018144082,-0.020793504,0.063289934,2005
0.147346705,-0.164928517,-0.158639659,-0.032592531,2006
0.036439917,-0.028766716,0.020043727,0.005656396,2007
-0.072631472,0.033673976,0.014504749,0.065479072,2008
0.107837047,0.195087605,0.162239386,0.160153628,2009
0.154684873,0.257548706,0.241486654,0.183885956,2010
0.205165226,0.251304332,0.244345505,0.195124663,2011
0.079185065,0.292843757,0.266605578,0.244093594,2012
0.089074082,-0.026534726,0.091519261,0.088908334,2013
-0.366799884,-0.177356848,-0.153638788,-0.328703557,2014
-0.086713893,-0.164956966,-0.136523645,-0.090593621,2015
-0.096817242,0.183359325,0.242630271,0.27328003,2016
0.38525804,0.335064211,0.336536647,0.386192582,2017
0.185226878,0.098095156,0.065648074,0.134066388,2018
-0.326140488,-0.352966639,-0.364847029,-0.307135551,2019
0.506178251,0.235611127,0.431923473,0.536952947,2020
-0.487445468,-0.80055576,-0.719794825,-0.591728589,2021
-0.309625409,-0.32721965,-0.340422938,-0.305743156,2022
0.633002009,0.5849047,0.543796657,0.632800679,2023
0.476368048,0.471853058,0.312293098,0.248572375,2024
-0.057852451,-0.018748274,-0.034754175,-0.092327321,2025
-0.452577657,-0.348453334,-0.35150549,-0.354085346,2026
-0.02967821,0.250381621,0.223772507,0.242421292,2027
-0.068643315,-0.003397943,-0.032862849,-0.05174544,2028
0.580992843,-0.128019494,0.440593377,0.605788702,2029
0.197845409,-0.125716942,0.014455086,0.116708722,2030
-0.07908498,0.133419256,0.104731843,-0.044634573,2031
-0.477970609,-0.466765779,-0.450278938,-0.479792978,2032
0.036339594,0.052704863,0.053043371,0.058357347,2033
0.030369301,-0.1797291,-0.103344321,-0.07329454,2034
-0.132026805,-0.149948051,-0.140098674,-0.09621696,2035
-0.050087385,-0.133040805,-0.093111188,-0.051769313,2036
0.007642692,0.428600187,0.183588777,0.215740433,2037
-0.080878305,-0.183256639,-0.13957543,-0.116473204,2038
0.19952096,0.235736276,0.174579245,0.208573766,2039
0.492171545,0.173671181,0.323792583,0.437541228,2040
-0.136321773,-0.314313975,-0.321248005,-0.258352353,2041
0.189005787,0.327380157,0.250789934,0.240115476,2042
